category_Id,asin,category,rank,image_urls,rating,rating_count,price,title,description,keyword,tag,ai_description,price_history
1379964031,B08H5NYC67,Measuring Spoons,11474,https://images-na.ssl-images-amazon.com/images/I/61DE5kocXSL.jpg,4.4,1135,199,INKULTURE Plastic Measuring Cups and Spoon Set with Ring Holder| 10 Piece Set | Multicolor,"10 Measuring Cups And Spoons In A Ring Holder. Accurately Measure Solid And Liquid Food Ingredients For Cooking And Baking.
Ring Holder For Easy Removal Of Spoons/Cups. Spoons And Cups Nest Into Each Other For Convenience In Hanging And Storing.
Easy Grip Handles Ensure Easy Maneuverability And Control. Long Handles For Easy Reach Into Spice Bottles, Small Jars And Other Awkward Spaces.
Durable Plastic With Easy To Read Markings And Labels In Millimeter (Ml).
05 Measuring Cups - 1 Cup (250Ml), 1/2 Cup (125 Ml), 1/3 Cup (80 Ml), 1/4 Cup (60 Ml), 1/8 Cup (30 Ml) And 05 Spoon - 01 TBSP(15 Ml), 1/2 TBSP(7.5 Ml), 01 TSP(05 Ml), 1/2 TSP(2.5 Ml), 1/4 TSP(1.25 Ml).",10 piece measuring set with ring holder,Best Pick,Accurately measure solid and liquid food ingredients with 10 measuring cups and spoons in a ring holder. Easy to read markings and labels in millimeter for convenience.,"[195.4, 199.0, 199.0, 195.4, 197.07]"
10543781031,B00LE97PP4,Food Processor Replacement Parts,2687102,https://images-na.ssl-images-amazon.com/images/I/81kNjusiRwL.jpg,4.5,1286,61782,KitchenAid KFP1133OB 11-Cup Food Processor with Exact Slice System - Onyx Black,"The externally adjustable ExactSlice System features optimized speeds, and an external lever that allows you to go from thick to thin with one slide of the lever.
The 3-in-1 Wide Mouth Feed Tube lets you accommodate large items—like tomatoes, cucumbers and potatoes with very little prep beforehand.
The UltraTight Seal Features a specially designed locking system with leak-resistant ring that allows you to fill the work bowl to capacity with ingredients without worrying about making a mess.
High, Low & Pulse speed options allow you to precisely and properly handle soft or hard ingredients with the touch of a button.
Model KFP1133 includes 11-Cup Work Bowl, 3-Cup Work Bowl, Adjustable Slicing Disc, Reversible Shredding Disc, Multipurpose Blade, Multipurpose Blade for 3-Cup Work Bowl, Dough Blade, Storage Case.",11-cup food processor with exact slice system,Best Pick,"Slice, shred, and mix with ease using the KFP1133 food processor. Adjustable slicing, wide feed tube, and leak-resistant seal make prep a breeze.","[64356.56, 61795.61, 62649.96, 64356.56, 64356.56]"
1380577031,B00JKCDOI4,Dry Irons,1799,https://images-na.ssl-images-amazon.com/images/I/71D03-q7qBL.jpg,4.1,16023,1469,Philips GC158/02 1100-Watt Dry Iron (Pink),"Golden american heritage coating for easy gliding
Cast-in soleplate technology
Pointed tip for ironing tricky areas
Warranty: 2 years on product
Power: 11 watts
Contact_us on: [ 18122929 ]",1100-watt dry iron,Best Pick,"Smooth ironing with American heritage coating, cast-in soleplate tech, pointed tip. 2-year warranty. Contact us at [ 18122929 ]","[1415.61, 1469.24, 1471.84, 1415.61, 1389.45]"
1379964031,B089QPZFQ2,Measuring Spoons,78071,https://images-na.ssl-images-amazon.com/images/I/61iz0NWscpL.jpg,4.4,171,99,"LISHOnn Plastic Measuring Cups and Spoon Set with Ring Holder, 12 Piece Set, Pink","12 Measuring Cups And Spoons In A Ring Holder. Accurately Measure Solid And Liquid Food Ingredients For Cooking And Baking.
Ring Holder For Easy Removal Of Spoons/Cups. Spoons And Cups Nest Into Each Other For Convenience In Hanging And Storing.
Easy Grip Handles Ensure Easy Maneuverability And Control. Long Handles For Easy Reach Into Spice Bottles, Small Jars And Other Awkward Spaces.
Durable Plastic With Easy To Read Markings And Labels In Millimeter (Ml).
6 Measuring Cups - 1 Cup (250Ml), 3/4 Cup (188 Ml), 2/3 Cup (167 Ml), 1/2 Cup (125 Ml), 1/3 Cup (85 Ml), 1/4 Cup (60 Ml)",12 piece measuring cups and spoon set with ring holder,Best Pick,Accurately measure solid and liquid ingredients with 12 measuring cups and spoons in a ring holder. Easy to read markings in millimeter for precise cooking and baking.,"[99.0, 99.0, 99.0, 99.0, 99.73]"
1379982031,B078YHJSQW,Drip Coffee Machines,17587,https://images-na.ssl-images-amazon.com/images/I/811QsTBqYvL.jpg,4.2,705,2799,Black+Decker BXCM1201IN 12-Cup Drip Coffee Maker,"Coffee Maker Type: 900 W, suitable for up to 12 cups of Coffee at a time
Control with Digital Display: 4 Functional Options to control the brewing process
Capacity: 1.5 Litre High Temperature Carafe with Water Level Indicator
Keep Warm Function: keep your coffee warm up to 2 hours post preparation.
Includes: Drip Coffee Machine, Instruction Manual, Carafe and Plastic Spoon.",12-cup coffee maker,Best Pick,"Coffee maker with 900W power, brews up to 12 cups. Digital control, 1.5L carafe, keep warm function. Includes manual and accessories.","[3268.22, 3055.55, 3215.55, 3268.22, 3173.24]"
1380081031,B06XPYRWV5,Pop-up Toasters,360,https://images-na.ssl-images-amazon.com/images/I/31Sgt4ZRNXL.jpg,4.1,5984,999,Pigeon by Stovekraft 2 Slice Auto Pop up Toaster. A Smart Bread Toaster for Your Home (750 Watt) (black),"2 slice capacity and auto pop up
Cool touch body and variable browning control
Bread slice centering device for even toasting
Easy slide out crumb tray and cord storage
Power: 750 watts
Warranty: 1 year warranty provided by the manufacturer from date of purchase",2 slice bread toaster,Best Pick,"2-slice toaster with auto pop up, cool touch body, and variable browning control. Easy to use and store. 1-year warranty included.","[1209.52, 1241.53, 1328.14, 1209.52, 1170.41]"
1380078031,B09JGDN45K,Sandwich Makers,7896,https://images-na.ssl-images-amazon.com/images/I/31w9GuChU0L.jpg,4.1,1215,1149,V-Guard VSG80 2 Slice Grill Sandwich Maker | Fixed Non-Stick Grill Plates with Powerful 800 Watt Heating Rods |Easy to Clean Non-Stick Greblon Coating | 1 Year Warranty - Black,"LATEST TO THE VSG SERIES : This new and improved toaster / griller / sandwich maker has been designed to help you with all of your diverse grilling needs
FIXED GRILL PLATES : For delicious sandwiches made with ingredients of your choice
DUAL NON-STICK COATING : Ensures hassle free release of food and convenient cleaning
TIGHT LOCKING MECHANISM : Prevents ingredients from spilling over, while cutting and sealing sandwiches effectively
DUAL LAMP INDICATOR : Indicates when the preheat is complete or sandwich is ready
COMPACT UPRIGHT STORAGE : Save space in the kitchen by storing comfortably in a cabinet or a counter top",2 slice grill sandwich maker,Best Pick,"Get the latest VSG series toaster/griller/sandwich maker for all your grilling needs. Fixed grill plates, dual non-stick coating, tight locking mechanism, dual lamp indicator, and compact storage.","[1101.99, 1137.25, 1149.01, 1101.99, 1099.76]"
1380081031,B0977C8QJR,Pop-up Toasters,9961,https://images-na.ssl-images-amazon.com/images/I/61OPw88BY0L.jpg,4.1,748,1259,"AGARO Venus 2 Slice Pop up toaster, White, Medium (33525) 750 Watts","6 Stage Variable Heat Settings
Comes with Bun Rack; Frozen and Pre-Heat Modes
High Rise Carriage Handle
Removable Crumb Tray
Material Type: Plastic",2 slice pop up toaster,Best Pick,"6-stage heat settings, bun rack, high rise handle, removable crumb tray. Plastic material. Frozen & pre-heat modes.","[1271.55, 1264.06, 1262.67, 1271.55, 1300.14]"
1380609031,B0C5DW4D3G,Handheld Vacuums,437,https://images-na.ssl-images-amazon.com/images/I/51vwvqiWqhL.jpg,4.1,2334,2050,"INALSA 2-in-1 Handheld & Stick Vacuum Cleaner for Home & Car|700W Motor with Strong Powerful 14KPA Suction|Hepa Filter|Clean Under Bed, Sofa |Include Carpet/Floor Brush(Ozoy Plus) Black & Grey","2-in-1 Handheld & Stick Vacuum Cleaner : With this upright vacuum cleaner by INALSA, switch easily from an upright stick vacuum to a handheld vacuum at the touch of a button and tackle trodden-in dirt, dust and debris on furniture, soft furnishings, stairs and car interiors.
Unique Design To Clean Hard To Reach Areas Under Bed, Sofas etc : INALSA Ozoy Plus is designed using in mind the problem customer face in cleaning hard to reach areas like under the bed, sofas or other furniture. The stick of the vacuum cleaner is sleek and can reach all these places for ultimate and complete cleaning of the area.
Powerful Suction : INALSA Ozoy Vacuum Cleaner utilizes an 700 watt powerful motor with a suction power up to 14KPa which suck out as small as microns dust and particles hidden deeply in sofas and mattresses. Dirt just can't hide anymore!!
Washable Hepa Filter : INALSA hand vacuum cleaner features enhanced and washable HEPA filters which are capable of capturing 99.97% debris, dander and dust. It further extends the lifetime of the appliance and effectively avoids clog of filters while ensuring suction in perfect condition.
No Heating Issue : Most of the handheld vacuum cleaners have heating issue, We have improved the design of the product so that the heating issue is minimized in this model of vacuum cleaner",2-in-1 handheld & stick vacuum cleaner,Best Pick,Switch from upright to handheld vacuum easily. Clean hard-to-reach areas with powerful suction. Washable HEPA filter. No heating issues.,"[1944.83, 2019.34, 1954.47, 1944.83, 1941.19]"
1380612031,B0BCYS5HDY,Upright Vacuums,5644,https://images-na.ssl-images-amazon.com/images/I/41iL6WtM20L.jpg,4,1799,2999,Eureka Forbes 2 in1 NXT Handheld & Upright Vacuum Cleaner (Red & Black),"2 in 1 design upright and handy vacuum cleaner
Light weight & compact design for effortless cleaning
Powerful suction of 13.5KPA
Bagless dust operation
HEPA filtration",2-in-1 handheld vacuum cleaner,Best Pick,Lightweight & compact 2-in-1 vacuum with powerful suction & HEPA filtration for effortless cleaning.,"[3025.21, 2999.0, 2907.87, 3025.21, 2959.56]"
